,Team,GA/GP
0,Calgary Flames,3.1341463414634148
1,Columbus Blue Jackets,3.024390243902439
2,Arizona Coyotes,2.975609756097561
3,Edmonton Oilers,2.951219512195122
4,Ottawa Senators,2.9390243902439024
5,Toronto Maple Leafs,2.926829268292683
6,Colorado Avalanche,2.926829268292683
7,Vancouver Canucks,2.9146341463414633
8,Winnipeg Jets,2.8780487804878048
9,Montreal Canadiens,2.841463414634146
10,Boston Bruins,2.7804878048780486
11,Dallas Stars,2.7804878048780486
12,Carolina Hurricanes,2.6951219512195124
13,Detroit Red Wings,2.6707317073170733
14,New York Rangers,2.6219512195121952
15,Buffalo Sabres,2.6219512195121952
16,Nashville Predators,2.597560975609756
17,New York Islanders,2.573170731707317
18,Philadelphia Flyers,2.5609756097560976
19,San Jose Sharks,2.524390243902439
20,Chicago Blackhawks,2.524390243902439
21,Minnesota Wild,2.4878048780487805
22,New Jersey Devils,2.4634146341463414
23,Florida Panthers,2.4390243902439024
24,Pittsburgh Penguins,2.426829268292683
25,Tampa Bay Lightning,2.4146341463414633
26,St Louis Blues,2.402439024390244
27,Los Angeles Kings,2.341463414634146
28,Washington Capitals,2.3292682926829267
29,Anaheim Ducks,2.292682926829268
30,Phoenix Coyotes,
